Country,Capital,January,February,March,April,May,June,July,August,September,October,November,December,,,,
Argentina,Buenos Aires,24.9,23.6,21.9,17.9,14.5,11.7,11,12.8,14.6,17.9,20.7,23.3,17.9,,,hi
Australia,Canberra,20.6,20.1,17.6,13.4,9.4,6.7,5.7,7,9.8,12.8,15.8,18.8,13.1,,,
Brazil,Bras�lia,21.2,21.3,21.5,20.9,19.6,18.5,18.3,20.3,21.7,21.6,21.1,21,20.6,,,
Canada,Ottawa,-10.2,-7.9,-2.2,6.5,13.5,18.7,21.2,19.9,15.3,8.4,2,-5.6,6.6,,,
China,Beijing,-3.1,0.3,6.7,14.8,20.8,24.9,26.7,25.5,20.8,13.7,5,-0.9,12.9,,,
Congo,Kinshasa,26,26.2,26.7,26.8,26,23.7,22.2,23.5,25.3,26,25.9,25.6,25.3,,,
Egypt,Cairo,13.6,14.9,16.9,21.2,24.5,27.3,27.6,27.4,26,23.3,18.9,15,21.4,,,
France,Paris,4.9,5.6,8.8,11.4,15.1,18.2,20.4,20.2,16.9,12.9,8.1,5.4,12.3,,,
Germany,Berlin,0.6,2.3,5.1,10.2,14.8,17.9,20.3,19.7,15.3,10.5,6,1.3,10.3,,,
Greenland,Nuuk,-7.4,-7.8,-8,-3.8,0.6,3.9,6.5,6.1,3.5,-0.7,-3.7,-6.2,-1.4,,,
India,New Delhi,13.8,16.5,22.1,28.7,32.8,34,30.9,29.7,29,26.1,20.5,15.3,25,,,
Israel,Jerusalem,12,13,15,18,21,23,26,26,25,22,18,13,20,,,
Italy,Rome,7.5,8.2,10.2,12.6,17.2,21.1,24.1,24.5,20.8,16.4,11.4,8.4,15.2,,,
Jamaica,Kingston,25.8,25.9,26.4,26.9,27.8,28.5,28.9,28.7,28.4,27.7,27.2,26.7,27.4,,,
Japan,Tokyo,5.2,5.7,8.7,13.9,18.2,21.4,25,26.4,22.8,17.5,12.1,7.6,15.4,,,
Mexico,Mexico City,14.6,15.9,18.1,19.6,20,19.4,18.2,18.3,18,17.1,16.3,15,17.5,,,
New Zealand,Wellington,16.9,17.2,15.8,13.7,11.7,9.7,8.9,9.4,10.8,12,13.5,15.4,12.9,,,
Peru,Lima,22.1,22.7,22.2,20.6,18.8,17.5,16.7,16.2,16.4,17.3,18.7,20.7,19.2,,,
Philippines,Manila,26.7,27.4,28.7,30.1,30,29.3,28.5,28.3,28.4,28.4,28,27,28.4,,,
Puerto Rico,San Juan,25.3,25.5,26.1,26.8,27.7,28.5,28.6,28.7,28.6,28.1,27,24.8,27.2,,,
Russia,Moscow,-6.5,-6.7,-1.0,6.7,13.2,17,19.2,17,11.3,5.6,-1.2,-5.2,5.8,,,
Saudi Arabia,Riyadh,14,16,21,26,32,34,36,35,32,27,21,16,26,,,
Sweden,Stockholm,-2.8,-3.0,0.1,4.6,10.7,15.6,17.2,16.2,11.9,7.5,2.6,-1.0,6.6,,,
South Africa,Cape Town,20.4,20.4,19.2,16.9,14.4,12.5,11.9,12.4,13.7,15.6,17.9,19.5,16.2,,,
South Korea,Seoul,-2.4,0.4,5.7,12.5,17.8,22.2,24.9,25.7,21.2,14.8,7.2,0.4,12.5,,,
Spain,Madrid,6.3,7.9,11.2,12.9,16.7,22.2,25.6,25.1,20.9,15.1,9.9,6.9,15,,,
Thailand,Bangkok,27,28.3,29.5,30.5,29.9,29.5,29,28.8,28.3,28.1,27.8,26.5,28.6,,,
United Kingdom,London,5.2,5.3,7.6,9.9,13.3,16.5,18.7,18.5,15.7,12,8,5.5,11.3,,,
Virgin Islands,Charlotte Amalie,25.3,25.5,26.1,26.8,27.7,28.5,28.6,28.7,28.6,28.1,27,24.8,27.2,,,
